order_id,order_total,order_item_ids,customer_name,customer_phone,delivery_address_1,delivery_address_2,delivery_address_state,delivery_address_zip,delivery_address_city,delivery_address_country
AFC9K3,5169.97,EG-1A2B3C4D,Kenny Brown,(201) 555-0123,123 Main Street,Apt 101,AL,10001,New York City,USA 
JHD5T9,932.99,EG-5E6F7G8H,Bobby Brown,(202) 555-0456,456 Elm Street,Suite 202,AK,20001,Los Angeles,USA 
PLM2Q1,423.99,EG-9I0J1K2L,Jane Smith,(203) 555-0789,789 Oak Avenue,Unit 303,AZ,30301,Chicago,USA 
NSX7R4,932.99,EG-N2O3P4Q5R,Michael Johnson,(204) 555-0123,101 Maple Lane,Building A,AR,40001,Houston,USA 
VZM6L2,2675.99,EG-6S7T8U9V,Emily Brown,(205) 555-0456,222 Pine Street,Apartment B,CA,50001,Phoenix,USA 
GHP3N8,932.99,EG-BBCDD1E2,David Wilson,(206) 555-0789,333 Cedar Avenue,Floor 1,CO,60001,Philadelphia,USA 
IJK1O7,932.99,EG-3FG4HI5JJ,Jennifer Taylor,(207) 555-0123,444 Birch Lane,Room 2,CT,70001,San Antonio,USA 
YTR4P9,2675.99,EG-6K7LM8N9O,William Martinez,(208) 555-0456,555 Willow Street,Level 3,DE,80001,San Diego,USA 
XCF8U2,229.99,EG-PPQQRRSST,Mary Anderson,(209) 555-0789,666 Magnolia Avenue,Flat 4,FL,90001,Dallas,USA 
LMN2W6,289.99,EG-0UV1WW2XX,Richard Thomas,(210) 555-0123,777 Sycamore Lane,Floor 5,GA,1001,San Jose,USA 
POD7S1,932.99,EG-YY3ZZ4AB,Linda Lee,(211) 555-0456,888 Chestnut Street,Unit 6,HI,2001,Austin,USA 
VBN9X4,932.99,EG-6C7C8D9E0,Joseph White,(212) 555-0789,999 Walnut Avenue,Suite 7,ID,3001,Jacksonville,USA 
WER3Y8,492.99,EG-F1F2G3G4H,Patricia Garcia,(213) 555-0123,111 Spruce Lane,Apartment 8,IL,4001,San Francisco,USA 
KJH5Z1,756.99,EG-5I6J7J8K9L,Robert Jones,(214) 555-0456,222 Cherry Street,Apt 9,IN,5001,Indianapolis,USA 
QWE8A2,229.99,EG-0M1M2N3N4O,Barbara Rodriguez,(215) 555-0789,333 Aspen Avenue,Building 10,IA,6001,Columbus,USA 
MNB1B4,756.99,EG-5PP6QQ7RR,Daniel Harris,(216) 555-0123,444 Cypress Lane,Floor 11,KS,7001,Fort Worth,USA 
IOP4C7,229.99,EG-8S9TT0UUV,Nancy Jackson,(217) 555-0456,555 Fir Street,Room 12,KY,8001,Charlotte,USA 
ASD7D9,5169.97,EG-1WW2XX3YY,Matthew Lewis,(218) 555-0789,666 Juniper Avenue,Level 13,LA,9001,Seattle,USA 
ZXC9E6,756.99,EG-4ZZ5A6BB7C,Karen Perez,(219) 555-0123,777 Redwood Lane,Suite 14,ME,11001,Denver,USA 
RFG2F8,489.99,EG-8DD9EEE0F,Christopher Hall,(220) 555-0456,888 Hemlock Street,Apartment 15,MD,12001,El Paso,USA 
TGB1G2,229.99,EG-1G2HH3II4J,Margaret Martinez,(221) 555-0789,999 Locust Avenue,Unit 16,MA,13001,Detroit,USA 
EDC6H5,5169.97,AG-1A2B3C4D,Charles Clark,(222) 555-0123,111 Laurel Lane,Flat 17,MI,14001,Washington,USA 
UIO0I4,932.99,AG-5E6F7G8H,Betty Walker,(223) 555-0456,222 Alder Street,Floor 18,MN,15001,Boston,USA 
OLP5J1,229.99,AG-9I0J1K2L,Andrew Young,(224) 555-0789,333 Sequoia Avenue,Building 19,MS,16001,Memphis,USA 
QAZ2K3,489.99,AG-N2O3P4Q5R,Helen King,(225) 555-0123,444 Birchwood Lane,Apt 20,MO,17001,Nashville,USA 
WSX3L5,932.99,AG-6S7T8U9V,George Hernandez,(226) 555-0456,555 Dogwood Street,Suite 21,MT,18001,Portland,USA 
RFV4M8,932.99,AG-BBCDD1E2,Susan Scott,(227) 555-0789,666 Hickory Avenue,Unit 22,NE,19001,Oklahoma City,USA 
TGB7N6,932.99,AG-3FG4HI5JJ,Edward Green,(228) 555-0123,777 Pinecone Lane,Apartment 23,NV,21001,Las Vegas,USA 
YHN8O1,932.99,AG-6K7LM8N9O,Lisa Nguyen,(229) 555-0456,888 Willowbrook Street,Floor 24,NH,22001,Baltimore,USA 
